Epoch	Success rate	passAverage	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.4	0.4	-29.530382	1.4522697	-20.700077	-30.000078	-2.0599945	300.4814	321.7	-305.3	300.0	109.454544	9999	-2.3235073	1.8375858	2.938574	-2.2148044	-2.3236213	1.8375648	2.4988427	-2.2089832	0.0	0.0013075713	1148.0824604034424
2	0.1	0.1	-29.57735	1.192885	-23.800077	-30.000078	-5.250009	298.15247	297.1	-308.0	300.0	99.90909	19999	-6.19365	4.4443126	1.6382816	-4.141404	-6.193651	4.4443483	1.5765383	-4.1522555	0.0	0.002570134	2481.904646873474
3	0.3	0.0	-29.254488	51.771343	284.49997	-318.60004	-4.124994	297.95514	298.0	-311.2	296.67648	124.181816	29999	-9.765267	6.9645505	-0.20729744	-57.127052	-9.76513	6.9667444	-0.17660552	-92.297226	0.0	2.652592	3755.148161172867
4	0.5	0.3	-29.90614	0.5314027	-26.900064	-30.000078	2.0899978	300.2848	328.6	-303.4	300.0	79.454544	39999	-15.709531	11.411933	-0.76115406	-319.4813	-15.709278	11.431812	-0.995874	-320.50482	0.0	1.1172848	4936.964879274368
5	0.6	1.0	-29.863312	0.6366062	-26.900063	-30.000078	-6.535005	285.48218	323.1	-314.10007	300.0	168.27272	49999	-18.923143	13.544172	-3.47281	-339.01297	-18.92314	13.544344	-3.5611315	-347.6629	0.0	0.11200274	6138.577909708023
6	0.5	0.4	-10.258503	264.8354	335.59998	-321.40005	-4.930005	298.154	296.5	-309.0	165.23729	101.90909	59999	-19.464247	18.454697	324.93372	-330.62866	-19.463625	18.393265	335.82413	-330.69574	0.0	42.420208	7461.616817712784
7	0.4	0.2	-8.92432	278.50894	337.59995	-321.90005	-4.769998	298.77615	300.0	-309.0	141.79167	86.63636	69999	-12.65672	35.37216	362.9903	-313.18576	-12.655078	35.40381	376.0873	-315.0698	0.0	86.15825	8773.60779094696
8	0.3	0.4	-10.216684	278.72147	319.19998	-318.70004	-9.025007	266.90747	299.9	-311.30002	155.8254	164.0	79999	-10.017935	49.00809	373.80023	-313.79065	-10.016667	49.009888	377.90692	-307.13147	0.0	104.5827	10034.326860427856
9	0.3	0.4	-10.385956	269.66428	319.09998	-320.20004	-3.2750015	301.4149	320.0	-313.90002	159.5	98.36364	89999	-12.840413	58.09009	394.11234	-305.12143	-12.84418	58.09247	397.70654	-309.86905	0.0	115.54651	11182.16112613678
10	0.2	0.4	-8.753485	277.64944	320.3	-320.10004	-3.0950074	299.70312	316.29996	-308.7	136.48611	92.545456	99999	-20.43601	64.40945	409.46106	-312.1111	-20.442486	64.4058	399.00943	-311.46313	0.0	130.11488	12266.244100570679
11	0.4	0.2	-9.982627	271.81293	335.90002	-323.10007	-3.1800017	298.0775	303.30002	-308.30002	147.75362	89.454544	109999	-28.957447	69.379814	407.01028	-307.66284	-28.966503	69.38504	406.03156	-319.83795	0.0	147.82181	13344.278965234756
12	0.4	0.0	-9.473154	268.57727	321.80002	-320.40005	-4.670007	283.16827	298.7	-307.1	148.20895	88.09091	119999	-34.58897	72.95993	403.93814	-309.3236	-34.595806	72.96439	408.5314	-312.24615	0.0	159.10931	14428.253709554672
13	0.4	0.8	-11.214539	268.33017	317.5	-319.00003	-4.0200014	298.79138	299.2	-315.90002	160.51613	93.0	129999	-39.941093	75.87014	415.43762	-312.5425	-39.94962	75.868126	414.0229	-315.632	0.0	168.58139	15506.177628040314
14	0.3	0.7	-10.969717	274.4948	314.19998	-315.80002	-5.0099993	283.1519	296.9	-310.1	152.54546	96.0	139999	-47.57025	79.156624	467.8317	-306.17108	-47.579945	79.16761	452.96	-307.9708	0.0	186.74966	16596.39819598198
15	0.4	0.2	-9.688473	282.50705	323.0	-323.70004	-6.9950104	266.894	301.0	-304.6	152.78462	111.72727	149999	-57.88241	83.51564	479.5802	-315.26663	-57.89748	83.53532	465.14792	-312.78912	0.0	192.12755	17686.24531340599
16	0.3	0.1	-9.204635	269.00626	339.7	-317.70004	-5.059999	298.1502	296.1	-308.0	151.46153	82.36364	159999	-68.970406	90.34359	471.92017	-310.81506	-68.98536	90.38212	478.85672	-310.47287	0.0	203.34326	18759.087137699127
17	0.2	0.3	-9.586124	274.8323	323.5	-321.10004	-6.370004	283.02444	298.7	-307.6	141.81944	99.90909	169999	-81.23469	97.62028	460.96085	-325.821	-81.24527	97.65075	482.59695	-337.83157	0.0	216.70865	19843.067718744278
18	0.3	0.6	-10.627288	267.38223	321.0	-320.30005	-2.9350007	299.6931	317.19998	-307.0	151.12122	77.0	179999	-94.59898	105.74715	504.20456	-333.11304	-94.59891	105.78537	553.62115	-350.93018	0.0	231.8834	20922.59762430191
19	0.4	1.0	-10.515168	279.83447	317.5	-322.30005	-3.8500092	301.94867	324.7	-315.80005	152.42424	119.36364	189999	-109.13264	114.220764	545.67584	-342.39133	-109.12615	114.24875	614.80054	-329.25317	0.0	255.51317	22019.23250770569
20	0.1	0.2	-8.850009	276.8736	325.1	-317.30002	-5.930005	284.71072	300.7	-317.20004	142.97101	93.27273	199999	-123.15911	122.681946	579.5556	-340.1862	-123.15261	122.708694	644.2306	-343.53156	0.0	267.62613	23156.28665614128
