,model_path,model_name
0,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2889999
1,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2989999
2,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2579999
3,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2799999
4,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2319999
5,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2519999
6,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2609999
7,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2699999
8,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2689999
9,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2279999
10,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2839999
11,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2819999
12,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2639999
13,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2719999
14,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2759999
15,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2729999
16,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2969999
17,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2069999
18,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2829999
19,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2679999
20,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2929999
21,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2169999
22,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2979999
23,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2489999
24,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2939999
25,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2909999
26,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2589999
27,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2749999
28,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2959999
29,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2899999
30,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2739999
31,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2949999
32,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2369999
33,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2849999
34,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2229999
35,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2709999
36,2022-01-07_00-03-58_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_03_58,2479999
37,2022-01-07_00-02-21_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_02_21,2939999
38,2022-01-07_00-02-21_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_02_21,2619999
39,2022-01-07_00-04-53_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_04_53,2989999
40,2022-01-07_00-04-53_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_04_53,2819999
41,2022-01-07_00-04-53_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_04_53,2289999
42,2022-01-07_00-04-53_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_04_53,2649999
43,2022-01-07_00-04-53_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_04_53,2339999
44,2022-01-07_00-04-53_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_04_53,2909999
45,2022-01-07_00-04-53_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_04_53,2959999
46,2022-01-07_00-04-53_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_04_53,2849999
47,2022-01-07_00-04-53_td3_soccer_goal_pass_join_2vs0_01_07_2022_00_04_53,2119999
